id,name,description,price,category,restaurant_id,is_active,created_at,updated_at
21,Agua de Horchata,Bebida de arroz y canela,1.99,Bebidas,3,true,Tue Jun 24 2025 15:04:04 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:04:04 GMT-0600 (hora estándar central)
22,Café Americano,Café negro,1.49,Bebidas,5,true,Tue Jun 24 2025 15:04:04 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:04:04 GMT-0600 (hora estándar central)
23,Té Helado,Té frío con limón,1.79,Bebidas,5,true,Tue Jun 24 2025 15:04:04 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:04:04 GMT-0600 (hora estándar central)
24,Brownie,Pastel de chocolate,2.99,Postres,5,true,Tue Jun 24 2025 15:04:04 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:04:04 GMT-0600 (hora estándar central)
25,Helado de Vainilla,Helado cremoso de vainilla,2.49,Postres,5,true,Tue Jun 24 2025 15:04:04 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:04:04 GMT-0600 (hora estándar central)
26,Flan,Postre de huevo y caramelo,2.99,Postres,5,true,Tue Jun 24 2025 15:04:04 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:04:04 GMT-0600 (hora estándar central)
27,Sopa Azteca,Sopa de tortilla con chile y queso,4.99,Mexicana,5,true,Tue Jun 24 2025 15:04:04 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:04:04 GMT-0600 (hora estándar central)
28,Tostadas de Pollo,Tortilla crujiente con pollo y verduras,3.99,Mexicana,3,true,Tue Jun 24 2025 15:04:04 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:04:04 GMT-0600 (hora estándar central)
29,Croissant,Pan francés hojaldrado,2.29,Panadería,3,true,Tue Jun 24 2025 15:04:04 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:04:04 GMT-0600 (hora estándar central)
30,Bagel,Pan redondo con semillas,2.19,Panadería,3,true,Tue Jun 24 2025 15:04:04 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:04:04 GMT-0600 (hora estándar central)
31,Jugo de Manzana,Bebida natural de manzana,2.49,Bebidas,5,true,Tue Jun 24 2025 15:04:04 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:04:04 GMT-0600 (hora estándar central)
32,Sándwich de Jamón,"Pan, jamón, queso y lechuga",3.49,Comida rápida,3,true,Tue Jun 24 2025 15:04:04 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:04:04 GMT-0600 (hora estándar central)
33,Hot Dog,"Pan, salchicha y aderezos",2.99,Comida rápida,3,true,Tue Jun 24 2025 15:04:04 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:04:04 GMT-0600 (hora estándar central)
34,Empanada de Pollo,Masa rellena de pollo,2.79,Panadería,5,true,Tue Jun 24 2025 15:04:04 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:04:04 GMT-0600 (hora estándar central)
35,Muffin de Arándanos,Panquecillo con arándanos,2.59,Postres,5,true,Tue Jun 24 2025 15:04:04 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:04:04 GMT-0600 (hora estándar central)
36,Ensalada de Frutas,Frutas frescas de temporada,3.49,Ensaladas,5,true,Tue Jun 24 2025 15:04:04 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:04:04 GMT-0600 (hora estándar central)
37,Sopa de Pollo,Caldo con pollo y verduras,4.49,Sopas,3,true,Tue Jun 24 2025 15:04:04 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:04:04 GMT-0600 (hora estándar central)
38,Té Verde,Bebida caliente de té verde,1.69,Bebidas,5,true,Tue Jun 24 2025 15:04:04 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:04:04 GMT-0600 (hora estándar central)
39,Smoothie de Fresa,Batido de fresa y yogur,3.29,Bebidas,5,true,Tue Jun 24 2025 15:04:04 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:04:04 GMT-0600 (hora estándar central)
40,Pizza Pepperoni,Pizza con pepperoni y queso,8.49,Italiana,5,true,Tue Jun 24 2025 15:04:04 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:04:04 GMT-0600 (hora estándar central)
41,Sopa Miso,Sopa japonesa de miso y tofu,3.99,Japonesa,3,true,Tue Jun 24 2025 15:04:04 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:04:04 GMT-0600 (hora estándar central)
42,Hamburguesa Clásica,"Carne, queso, lechuga y tomate",5.99,Comida rápida,3,true,Tue Jun 24 2025 15:13:18 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:13:18 GMT-0600 (hora estándar central)
43,Papas Fritas,Papas crujientes con sal,2.49,Acompañamientos,5,true,Tue Jun 24 2025 15:13:18 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:13:18 GMT-0600 (hora estándar central)
44,Coca-Cola,Bebida gaseosa 355ml,1.99,Bebidas,5,true,Tue Jun 24 2025 15:13:18 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:13:18 GMT-0600 (hora estándar central)
45,Pizza Margarita,"Salsa de tomate, queso mozzarella y albahaca",7.99,Italiana,3,true,Tue Jun 24 2025 15:13:18 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:13:18 GMT-0600 (hora estándar central)
46,Ensalada César,"Lechuga romana, crutones, queso parmesano",4.99,Ensaladas,3,true,Tue Jun 24 2025 15:13:18 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:13:18 GMT-0600 (hora estándar central)
47,Jugo Natural de Naranja,Exprimido al momento,2.79,Bebidas,3,true,Tue Jun 24 2025 15:13:18 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:13:18 GMT-0600 (hora estándar central)
48,Taco al Pastor,"Cerdo marinado, piña y cebolla",3.99,Mexicana,3,true,Tue Jun 24 2025 15:13:18 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:13:18 GMT-0600 (hora estándar central)
49,Quesadilla de Pollo,Tortilla con queso y pollo,4.49,Mexicana,3,true,Tue Jun 24 2025 15:13:18 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:13:18 GMT-0600 (hora estándar central)
50,Agua Mineral,Botella 500ml,1.29,Bebidas,3,true,Tue Jun 24 2025 15:13:18 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:13:18 GMT-0600 (hora estándar central)
51,Sushi Roll,"Arroz, alga, salmón y aguacate",8.99,Japonesa,5,true,Tue Jun 24 2025 15:13:18 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:13:18 GMT-0600 (hora estándar central)
52,Tempura de Camarón,Camarones empanizados y fritos,6.99,Japonesa,3,true,Tue Jun 24 2025 15:13:18 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:13:18 GMT-0600 (hora estándar central)
53,Ramen,Sopa de fideos con cerdo y huevo,7.49,Japonesa,5,true,Tue Jun 24 2025 15:13:18 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:13:18 GMT-0600 (hora estándar central)
54,Pollo a la Parrilla,Pechuga de pollo asada,5.49,Parrilla,3,true,Tue Jun 24 2025 15:13:18 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:13:18 GMT-0600 (hora estándar central)
55,Costillas BBQ,Costillas de cerdo con salsa BBQ,9.99,Parrilla,5,true,Tue Jun 24 2025 15:13:18 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:13:18 GMT-0600 (hora estándar central)
56,Ensalada Mixta,"Lechuga, tomate, zanahoria y pepino",3.99,Ensaladas,3,true,Tue Jun 24 2025 15:13:18 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:13:18 GMT-0600 (hora estándar central)
57,Spaghetti Boloñesa,Pasta con salsa de carne,6.99,Italiana,5,true,Tue Jun 24 2025 15:13:18 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:13:18 GMT-0600 (hora estándar central)
58,Lasaña,"Capas de pasta, carne y queso",7.99,Italiana,5,true,Tue Jun 24 2025 15:13:18 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:13:18 GMT-0600 (hora estándar central)
59,Pan de Ajo,Pan horneado con ajo y mantequilla,2.49,Acompañamientos,5,true,Tue Jun 24 2025 15:13:18 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:13:18 GMT-0600 (hora estándar central)
60,Nachos con Queso,Totopos con queso fundido,3.99,Mexicana,5,true,Tue Jun 24 2025 15:13:18 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:13:18 GMT-0600 (hora estándar central)
61,Guacamole,"Aguacate, tomate, cebolla y limón",2.99,Mexicana,5,true,Tue Jun 24 2025 15:13:18 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:13:18 GMT-0600 (hora estándar central)
62,Agua de Horchata,Bebida de arroz y canela,1.99,Bebidas,3,true,Tue Jun 24 2025 15:13:18 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:13:18 GMT-0600 (hora estándar central)
63,Café Americano,Café negro,1.49,Bebidas,5,true,Tue Jun 24 2025 15:13:18 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:13:18 GMT-0600 (hora estándar central)
64,Té Helado,Té frío con limón,1.79,Bebidas,3,true,Tue Jun 24 2025 15:13:18 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:13:18 GMT-0600 (hora estándar central)
65,Brownie,Pastel de chocolate,2.99,Postres,5,true,Tue Jun 24 2025 15:13:18 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:13:18 GMT-0600 (hora estándar central)
66,Helado de Vainilla,Helado cremoso de vainilla,2.49,Postres,5,true,Tue Jun 24 2025 15:13:18 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:13:18 GMT-0600 (hora estándar central)
67,Flan,Postre de huevo y caramelo,2.99,Postres,3,true,Tue Jun 24 2025 15:13:18 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:13:18 GMT-0600 (hora estándar central)
68,Sopa Azteca,Sopa de tortilla con chile y queso,4.99,Mexicana,5,true,Tue Jun 24 2025 15:13:18 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:13:18 GMT-0600 (hora estándar central)
69,Tostadas de Pollo,Tortilla crujiente con pollo y verduras,3.99,Mexicana,3,true,Tue Jun 24 2025 15:13:18 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:13:18 GMT-0600 (hora estándar central)
70,Croissant,Pan francés hojaldrado,2.29,Panadería,3,true,Tue Jun 24 2025 15:13:18 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:13:18 GMT-0600 (hora estándar central)
71,Bagel,Pan redondo con semillas,2.19,Panadería,5,true,Tue Jun 24 2025 15:13:18 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:13:18 GMT-0600 (hora estándar central)
72,Jugo de Manzana,Bebida natural de manzana,2.49,Bebidas,5,true,Tue Jun 24 2025 15:13:18 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:13:18 GMT-0600 (hora estándar central)
73,Sándwich de Jamón,"Pan, jamón, queso y lechuga",3.49,Comida rápida,3,true,Tue Jun 24 2025 15:13:18 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:13:18 GMT-0600 (hora estándar central)
74,Hot Dog,"Pan, salchicha y aderezos",2.99,Comida rápida,3,true,Tue Jun 24 2025 15:13:18 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:13:18 GMT-0600 (hora estándar central)
75,Empanada de Pollo,Masa rellena de pollo,2.79,Panadería,3,true,Tue Jun 24 2025 15:13:18 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:13:18 GMT-0600 (hora estándar central)
76,Muffin de Arándanos,Panquecillo con arándanos,2.59,Postres,5,true,Tue Jun 24 2025 15:13:18 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:13:18 GMT-0600 (hora estándar central)
77,Ensalada de Frutas,Frutas frescas de temporada,3.49,Ensaladas,5,true,Tue Jun 24 2025 15:13:18 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:13:18 GMT-0600 (hora estándar central)
78,Sopa de Pollo,Caldo con pollo y verduras,4.49,Sopas,5,true,Tue Jun 24 2025 15:13:18 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:13:18 GMT-0600 (hora estándar central)
79,Té Verde,Bebida caliente de té verde,1.69,Bebidas,3,true,Tue Jun 24 2025 15:13:18 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:13:18 GMT-0600 (hora estándar central)
80,Smoothie de Fresa,Batido de fresa y yogur,3.29,Bebidas,5,true,Tue Jun 24 2025 15:13:18 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:13:18 GMT-0600 (hora estándar central)
81,Pizza Pepperoni,Pizza con pepperoni y queso,8.49,Italiana,5,true,Tue Jun 24 2025 15:13:18 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:13:18 GMT-0600 (hora estándar central)
82,Sopa Miso,Sopa japonesa de miso y tofu,3.99,Japonesa,3,true,Tue Jun 24 2025 15:13:18 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:13:18 GMT-0600 (hora estándar central)
83,Hamburguesa Clásica,"Carne, queso, lechuga y tomate",5.99,Comida rápida,5,true,Tue Jun 24 2025 15:17:54 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:17:54 GMT-0600 (hora estándar central)
84,Papas Fritas,Papas crujientes con sal,2.49,Acompañamientos,3,true,Tue Jun 24 2025 15:17:54 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:17:54 GMT-0600 (hora estándar central)
85,Coca-Cola,Bebida gaseosa 355ml,1.99,Bebidas,3,true,Tue Jun 24 2025 15:17:54 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:17:54 GMT-0600 (hora estándar central)
86,Pizza Margarita,"Salsa de tomate, queso mozzarella y albahaca",7.99,Italiana,3,true,Tue Jun 24 2025 15:17:54 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:17:54 GMT-0600 (hora estándar central)
87,Ensalada César,"Lechuga romana, crutones, queso parmesano",4.99,Ensaladas,5,true,Tue Jun 24 2025 15:17:54 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:17:54 GMT-0600 (hora estándar central)
88,Jugo Natural de Naranja,Exprimido al momento,2.79,Bebidas,5,true,Tue Jun 24 2025 15:17:54 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:17:54 GMT-0600 (hora estándar central)
89,Taco al Pastor,"Cerdo marinado, piña y cebolla",3.99,Mexicana,5,true,Tue Jun 24 2025 15:17:54 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:17:54 GMT-0600 (hora estándar central)
90,Quesadilla de Pollo,Tortilla con queso y pollo,4.49,Mexicana,3,true,Tue Jun 24 2025 15:17:54 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:17:54 GMT-0600 (hora estándar central)
91,Agua Mineral,Botella 500ml,1.29,Bebidas,5,true,Tue Jun 24 2025 15:17:54 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:17:54 GMT-0600 (hora estándar central)
92,Sushi Roll,"Arroz, alga, salmón y aguacate",8.99,Japonesa,3,true,Tue Jun 24 2025 15:17:54 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:17:54 GMT-0600 (hora estándar central)
93,Tempura de Camarón,Camarones empanizados y fritos,6.99,Japonesa,5,true,Tue Jun 24 2025 15:17:54 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:17:54 GMT-0600 (hora estándar central)
94,Ramen,Sopa de fideos con cerdo y huevo,7.49,Japonesa,3,true,Tue Jun 24 2025 15:17:54 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:17:54 GMT-0600 (hora estándar central)
95,Pollo a la Parrilla,Pechuga de pollo asada,5.49,Parrilla,5,true,Tue Jun 24 2025 15:17:54 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:17:54 GMT-0600 (hora estándar central)
96,Costillas BBQ,Costillas de cerdo con salsa BBQ,9.99,Parrilla,5,true,Tue Jun 24 2025 15:17:54 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:17:54 GMT-0600 (hora estándar central)
97,Ensalada Mixta,"Lechuga, tomate, zanahoria y pepino",3.99,Ensaladas,3,true,Tue Jun 24 2025 15:17:54 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:17:54 GMT-0600 (hora estándar central)
98,Spaghetti Boloñesa,Pasta con salsa de carne,6.99,Italiana,3,true,Tue Jun 24 2025 15:17:54 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:17:54 GMT-0600 (hora estándar central)
99,Lasaña,"Capas de pasta, carne y queso",7.99,Italiana,5,true,Tue Jun 24 2025 15:17:54 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:17:54 GMT-0600 (hora estándar central)
100,Pan de Ajo,Pan horneado con ajo y mantequilla,2.49,Acompañamientos,3,true,Tue Jun 24 2025 15:17:54 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:17:54 GMT-0600 (hora estándar central)
101,Nachos con Queso,Totopos con queso fundido,3.99,Mexicana,3,true,Tue Jun 24 2025 15:17:54 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:17:54 GMT-0600 (hora estándar central)
102,Guacamole,"Aguacate, tomate, cebolla y limón",2.99,Mexicana,5,true,Tue Jun 24 2025 15:17:54 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:17:54 GMT-0600 (hora estándar central)
103,Agua de Horchata,Bebida de arroz y canela,1.99,Bebidas,5,true,Tue Jun 24 2025 15:17:54 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:17:54 GMT-0600 (hora estándar central)
104,Café Americano,Café negro,1.49,Bebidas,5,true,Tue Jun 24 2025 15:17:54 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:17:54 GMT-0600 (hora estándar central)
105,Té Helado,Té frío con limón,1.79,Bebidas,5,true,Tue Jun 24 2025 15:17:54 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:17:54 GMT-0600 (hora estándar central)
106,Brownie,Pastel de chocolate,2.99,Postres,5,true,Tue Jun 24 2025 15:17:54 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:17:54 GMT-0600 (hora estándar central)
107,Helado de Vainilla,Helado cremoso de vainilla,2.49,Postres,5,true,Tue Jun 24 2025 15:17:54 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:17:54 GMT-0600 (hora estándar central)
108,Flan,Postre de huevo y caramelo,2.99,Postres,5,true,Tue Jun 24 2025 15:17:54 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:17:54 GMT-0600 (hora estándar central)
109,Sopa Azteca,Sopa de tortilla con chile y queso,4.99,Mexicana,5,true,Tue Jun 24 2025 15:17:54 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:17:54 GMT-0600 (hora estándar central)
110,Tostadas de Pollo,Tortilla crujiente con pollo y verduras,3.99,Mexicana,3,true,Tue Jun 24 2025 15:17:54 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:17:54 GMT-0600 (hora estándar central)
111,Croissant,Pan francés hojaldrado,2.29,Panadería,3,true,Tue Jun 24 2025 15:17:54 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:17:54 GMT-0600 (hora estándar central)
112,Bagel,Pan redondo con semillas,2.19,Panadería,5,true,Tue Jun 24 2025 15:17:54 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:17:54 GMT-0600 (hora estándar central)
113,Jugo de Manzana,Bebida natural de manzana,2.49,Bebidas,3,true,Tue Jun 24 2025 15:17:54 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:17:54 GMT-0600 (hora estándar central)
114,Sándwich de Jamón,"Pan, jamón, queso y lechuga",3.49,Comida rápida,3,true,Tue Jun 24 2025 15:17:54 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:17:54 GMT-0600 (hora estándar central)
115,Hot Dog,"Pan, salchicha y aderezos",2.99,Comida rápida,3,true,Tue Jun 24 2025 15:17:54 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:17:54 GMT-0600 (hora estándar central)
116,Empanada de Pollo,Masa rellena de pollo,2.79,Panadería,5,true,Tue Jun 24 2025 15:17:54 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:17:54 GMT-0600 (hora estándar central)
117,Muffin de Arándanos,Panquecillo con arándanos,2.59,Postres,3,true,Tue Jun 24 2025 15:17:54 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:17:54 GMT-0600 (hora estándar central)
118,Ensalada de Frutas,Frutas frescas de temporada,3.49,Ensaladas,5,true,Tue Jun 24 2025 15:17:54 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:17:54 GMT-0600 (hora estándar central)
119,Sopa de Pollo,Caldo con pollo y verduras,4.49,Sopas,5,true,Tue Jun 24 2025 15:17:54 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:17:54 GMT-0600 (hora estándar central)
120,Té Verde,Bebida caliente de té verde,1.69,Bebidas,3,true,Tue Jun 24 2025 15:17:54 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:17:54 GMT-0600 (hora estándar central)
121,Smoothie de Fresa,Batido de fresa y yogur,3.29,Bebidas,5,true,Tue Jun 24 2025 15:17:54 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:17:54 GMT-0600 (hora estándar central)
122,Pizza Pepperoni,Pizza con pepperoni y queso,8.49,Italiana,3,true,Tue Jun 24 2025 15:17:54 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:17:54 GMT-0600 (hora estándar central)
123,Sopa Miso,Sopa japonesa de miso y tofu,3.99,Japonesa,5,true,Tue Jun 24 2025 15:17:54 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:17:54 GMT-0600 (hora estándar central)
124,Hamburguesa Clásica,"Carne, queso, lechuga y tomate",5.99,Comida rápida,3,true,Tue Jun 24 2025 15:23:15 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:23:15 GMT-0600 (hora estándar central)
125,Papas Fritas,Papas crujientes con sal,2.49,Acompañamientos,5,true,Tue Jun 24 2025 15:23:15 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:23:15 GMT-0600 (hora estándar central)
126,Coca-Cola,Bebida gaseosa 355ml,1.99,Bebidas,5,true,Tue Jun 24 2025 15:23:15 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:23:15 GMT-0600 (hora estándar central)
127,Pizza Margarita,"Salsa de tomate, queso mozzarella y albahaca",7.99,Italiana,5,true,Tue Jun 24 2025 15:23:15 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:23:15 GMT-0600 (hora estándar central)
128,Ensalada César,"Lechuga romana, crutones, queso parmesano",4.99,Ensaladas,5,true,Tue Jun 24 2025 15:23:15 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:23:15 GMT-0600 (hora estándar central)
129,Jugo Natural de Naranja,Exprimido al momento,2.79,Bebidas,5,true,Tue Jun 24 2025 15:23:15 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:23:15 GMT-0600 (hora estándar central)
130,Taco al Pastor,"Cerdo marinado, piña y cebolla",3.99,Mexicana,3,true,Tue Jun 24 2025 15:23:15 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:23:15 GMT-0600 (hora estándar central)
131,Quesadilla de Pollo,Tortilla con queso y pollo,4.49,Mexicana,5,true,Tue Jun 24 2025 15:23:15 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:23:15 GMT-0600 (hora estándar central)
