id,restaurant_id,name,description,created_at,updated_at
24,5,Lemon Pepper-crusted Quail,"An exquisite lamb roast, infused with the essence of kiwi fruit, slow-roasted to bring out its natural flavors and served with a side of creamy jerusalem artichoke",Tue Jun 24 2025 15:04:04 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:04:04 GMT-0600 (hora estándar central)
25,5,Lime Leaves-crusted Chicken,"Fresh mixed greens tossed with china star-rubbed chicken, cornichons, and a light dressing.",Tue Jun 24 2025 15:13:18 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:13:18 GMT-0600 (hora estándar central)
26,5,Philadelphia Maki,"Three nutritional yeast with broccolini, cos lettuce, arugula, chinese cabbage and tapioca flour. With a side of baked kiwiberry, and your choice of butter beans or tapioca.",Tue Jun 24 2025 15:13:18 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:13:18 GMT-0600 (hora estándar central)
27,3,Malt Vinegar-infused Crocodile,"Tender beef skewers, glazed with a sweet and tangy cranberry sauce, served over a bed of fragrant jasmine rice.",Tue Jun 24 2025 15:13:18 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:13:18 GMT-0600 (hora estándar central)
28,5,Vegetable Soup,"Crispy fried chicken bites, seasoned with china star and served with a tangy lemon dipping sauce.",Tue Jun 24 2025 15:13:18 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:13:18 GMT-0600 (hora estándar central)
29,5,Mushroom Risotto,"Our rich goose, slow-cooked to perfection, accompanied by steamed hijiki and a rich, savory gravy.",Tue Jun 24 2025 15:13:18 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:13:18 GMT-0600 (hora estándar central)
30,5,Pasta Carbonara,"A succulent quail steak, encased in a bitter sesame seed crust, served with a side of allspice mashed jerusalem artichoke.",Tue Jun 24 2025 15:13:18 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:13:18 GMT-0600 (hora estándar central)
31,5,Frank's Special Trout,"Three flounder with okra, okra, capers, red pepper and wholemeal. With a side of baked mandarin, and your choice of cayenne or mango.",Tue Jun 24 2025 15:13:18 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:13:18 GMT-0600 (hora estándar central)
32,3,Juicy Parsi Stew,"Crispy fried chicken bites, seasoned with cayenne pepper and served with a tangy starfruit dipping sauce.",Tue Jun 24 2025 15:13:18 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:13:18 GMT-0600 (hora estándar central)
33,5,Plum And Papaw Tart,"An exquisite beef roast, infused with the essence of currant, slow-roasted to bring out its natural flavors and served with a side of creamy bean sprouts",Tue Jun 24 2025 15:13:18 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:13:18 GMT-0600 (hora estándar central)
34,3,Nectarine Pie,"A classic pie filled with delicious lamb and moist capers, baked in a bitter pastry crust and topped with a golden-brown lattice.",Tue Jun 24 2025 15:13:18 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:13:18 GMT-0600 (hora estándar central)
35,5,Tuna Sashimi,"An exquisite venison roast, infused with the essence of feijoa, slow-roasted to bring out its natural flavors and served with a side of creamy bok choy",Tue Jun 24 2025 15:13:18 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:13:18 GMT-0600 (hora estándar central)
36,5,Pork Steak,"An exquisite salmon roast, infused with the essence of honeydew melon, slow-roasted to bring out its natural flavors and served with a side of creamy hijiki",Tue Jun 24 2025 15:13:18 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:13:18 GMT-0600 (hora estándar central)
37,3,Longan And Avocado Tart,"Baked endive-stuffed beef, seasoned with marjoram and delicious herbs, accompanied by roasted purple carrot medley.",Tue Jun 24 2025 15:13:18 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:13:18 GMT-0600 (hora estándar central)
38,3,Som Tam,"Fresh kidney beans with a pinch of colombo, topped by a caramelized papaw with whipped cream",Tue Jun 24 2025 15:13:18 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:13:18 GMT-0600 (hora estándar central)
39,5,Scotch Eggs,"Baked turnips-stuffed kangaroo, seasoned with rice paper and crunchy herbs, accompanied by roasted dried chinese broccoli medley.",Tue Jun 24 2025 15:13:18 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:13:18 GMT-0600 (hora estándar central)
40,3,California Maki,"Grilled pork kebabs, marinated in Indian spices and served with a fresh broccolini and prune salad.",Tue Jun 24 2025 15:13:18 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:13:18 GMT-0600 (hora estándar central)
41,5,Lamb Steak,"A delightful tart combining tender iceberg lettuce and sweet fingerlime, set in a buttery pastry shell and finished with a hint of tandoori masala.",Tue Jun 24 2025 15:13:18 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:13:18 GMT-0600 (hora estándar central)
42,3,Pork Belly Buns,"Tender turkey skewers, glazed with a sweet and tangy kiwi fruit sauce, served over a bed of fragrant jasmine rice.",Tue Jun 24 2025 15:13:18 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:13:18 GMT-0600 (hora estándar central)
43,5,Caraway Seed-rubbed Crocodile Salad,"13-day aged ostrich steak, with choice of 2 sides.",Tue Jun 24 2025 15:13:18 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:13:18 GMT-0600 (hora estándar central)
44,5,Custard Apples Daikon Pie,"Juicy rabbit, grilled to your liking and drizzled with a bold cassia sauce, served alongside roasted pumpkin.",Tue Jun 24 2025 15:13:18 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:13:18 GMT-0600 (hora estándar central)
45,3,Meatballs With Sauce,"Baked tapioca flour-stuffed venison, seasoned with sesame seed and sour herbs, accompanied by roasted swiss chard medley.",Tue Jun 24 2025 15:17:54 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:17:54 GMT-0600 (hora estándar central)
46,3,Rosa's Special Cumin,"Grilled venison kebabs, marinated in Czech spices and served with a fresh purple carrot and cranberry salad.",Tue Jun 24 2025 15:17:54 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:17:54 GMT-0600 (hora estándar central)
47,5,Caesar Salad,"A succulent crocodile steak, encased in a crunchy tagine crust, served with a side of sage mashed eggplant.",Tue Jun 24 2025 15:17:54 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:17:54 GMT-0600 (hora estándar central)
48,5,Pork Sausage Roll,"Juicy emu, grilled to your liking and drizzled with a bold curry sauce, served alongside roasted sun dried tomatoes.",Tue Jun 24 2025 15:17:54 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:17:54 GMT-0600 (hora estándar central)
49,3,Pasta And Beans,A simple grape pie. No fancy stuff. Just pie.,Tue Jun 24 2025 15:17:54 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:17:54 GMT-0600 (hora estándar central)
50,5,Crimean Tatar Bocconcini Soup,"A succulent pigeon steak, encased in a salty mint crust, served with a side of turmeric mashed onion.",Tue Jun 24 2025 15:17:54 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:17:54 GMT-0600 (hora estándar central)
51,5,Latvian Honeydew Melon Soup,"A slow-roasted Wilson's Warbler with a moist, savory exterior. Stuffed with orange and covered in lemon sauce. Sides with pumpkin puree and wild artichoke.",Tue Jun 24 2025 15:17:54 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:17:54 GMT-0600 (hora estándar central)
52,3,French Fries With Sausages,"Tenderly braised pork in a rich china star and broccoli sauce, served with a side of creamy radicchio.",Tue Jun 24 2025 15:17:54 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:17:54 GMT-0600 (hora estándar central)
53,5,Jerk-crusted Chicken,"Juicy pigeon, grilled to your liking and drizzled with a bold curry sauce, served alongside roasted french eschallots.",Tue Jun 24 2025 15:17:54 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:17:54 GMT-0600 (hora estándar central)
54,5,Juicy Turkey With Bean Shoots,"Hearty peaches and chicken stew, slow-cooked with sweet laurel and carrot for a comforting, flavorful meal.",Tue Jun 24 2025 15:17:54 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:17:54 GMT-0600 (hora estándar central)
55,3,Cavalo And Currant Tart,"Crispy fried lamb bites, seasoned with chilli pepper and served with a tangy mulberry dipping sauce.",Tue Jun 24 2025 15:17:54 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:17:54 GMT-0600 (hora estándar central)
56,5,French Lavender-crusted Duck,"Juicy chicken, grilled to your liking and drizzled with a bold rogan josh sauce, served alongside roasted artichoke.",Tue Jun 24 2025 15:17:54 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:17:54 GMT-0600 (hora estándar central)
57,5,Hijiki Salad,"Our rich pork, slow-cooked to perfection, accompanied by steamed turnips and a rich, savory gravy.",Tue Jun 24 2025 15:17:54 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:17:54 GMT-0600 (hora estándar central)
58,3,Pasta Carbonara,"Baked whiting wild rice-stuffed chicken, seasoned with poudre de colombo and savory herbs, accompanied by roasted iceberg lettuce medley.",Tue Jun 24 2025 15:17:54 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:17:54 GMT-0600 (hora estándar central)
59,3,Blood Oranges-infused Goose,"Hearty rice syrup and chicken stew, slow-cooked with methi and turnips for a comforting, flavorful meal.",Tue Jun 24 2025 15:17:54 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:17:54 GMT-0600 (hora estándar central)
60,5,Scotch Eggs,"Tenderly braised beef in a rich tandoori masala and kale sauce, served with a side of creamy pumpkin.",Tue Jun 24 2025 15:17:54 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:17:54 GMT-0600 (hora estándar central)
61,5,California Maki,"Juicy rabbit, grilled to your liking and drizzled with a bold ginger sauce, served alongside roasted cucumber.",Tue Jun 24 2025 15:17:54 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:17:54 GMT-0600 (hora estándar central)
62,3,Indian Achacha Soup,"Our tangy salmon, slow-cooked to perfection, accompanied by steamed cabbage and a rich, savory gravy.",Tue Jun 24 2025 15:17:54 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:17:54 GMT-0600 (hora estándar central)
63,3,Honeydew Melon-glazed Pigeon Skewers,"Fresh sake with a pinch of onion seed, topped by a caramelized olive with whipped cream",Tue Jun 24 2025 15:17:54 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:17:54 GMT-0600 (hora estándar central)
64,5,Mandarin-infused Kangaroo Roast,"A robust fluffy stew featuring Cypriot flavors, loaded with crunchy meat, juicy vegetables, and a fluffy, tender broth.",Tue Jun 24 2025 15:17:54 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:17:54 GMT-0600 (hora estándar central)
65,3,Coriander-rubbed Salmon Salad,"A slow-roasted Chuck-will's-widow with a salty, rich exterior. Stuffed with cantaloupe and covered in snowpea sauce. Sides with rhubarb puree and wild hijiki.",Tue Jun 24 2025 15:23:15 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:23:15 GMT-0600 (hora estándar central)
66,3,Risotto With Seafood,"A slow-roasted Pacific Loon with a rich, crunchy exterior. Stuffed with orange and covered in juniper berry sauce. Sides with arugula puree and wild bean sprouts.",Tue Jun 24 2025 15:23:15 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:23:15 GMT-0600 (hora estándar central)
67,3,Garlic-crusted Beef,"A robust crispy stew featuring Eritrean flavors, loaded with salty meat, tender vegetables, and a juicy, zesty broth.",Tue Jun 24 2025 15:23:15 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:23:15 GMT-0600 (hora estándar central)
68,3,Poutine,"An exquisite duck roast, infused with the essence of apricot, slow-roasted to bring out its natural flavors and served with a side of creamy bean shoots",Tue Jun 24 2025 15:23:15 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:23:15 GMT-0600 (hora estándar central)
69,5,Cumquat And Crocodile Pie,"An exquisite emu roast, infused with the essence of banana, slow-roasted to bring out its natural flavors and served with a side of creamy beetroot",Tue Jun 24 2025 15:23:15 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:23:15 GMT-0600 (hora estándar central)
70,3,Tender Mediterranean Stew,"Tenderly braised turkey in a rich spearmint and beans sauce, served with a side of creamy sun dried tomatoes.",Tue Jun 24 2025 15:23:15 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:23:15 GMT-0600 (hora estándar central)
71,3,Orange Pie,"Three hiramasa kingfish with cauliflower, kohlrabi, peppers, broccoli and kenchur. With a side of baked snowpea, and your choice of coconut or allspice.",Tue Jun 24 2025 15:23:15 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:23:15 GMT-0600 (hora estándar central)
72,3,Leeks Salad,"Our moist beef, slow-cooked to perfection, accompanied by steamed jerusalem artichoke and a rich, savory gravy.",Tue Jun 24 2025 15:23:15 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:23:15 GMT-0600 (hora estándar central)
73,3,Grapefruit And Mulberry Tart,"Juicy kangaroo, grilled to your liking and drizzled with a bold ajwan seed sauce, served alongside roasted broccoli.",Tue Jun 24 2025 15:23:15 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:23:15 GMT-0600 (hora estándar central)
74,5,Crocodile Steak,"A succulent beef steak, encased in a crunchy mace crust, served with a side of cayenne pepper mashed bok choy.",Tue Jun 24 2025 15:23:15 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:23:15 GMT-0600 (hora estándar central)
75,3,Chicken Parm,"Three mustard seed with eggplant, lettuce, asian greens, asian greens and tamari. With a side of baked blood orange, and your choice of red wine vinegar or oyster mushrooms.",Tue Jun 24 2025 15:23:15 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:23:15 GMT-0600 (hora estándar central)
76,3,Tiramisù,"A classic pie filled with delicious turkey and fluffy rice noodles, baked in a smoky pastry crust and topped with a golden-brown lattice.",Tue Jun 24 2025 15:23:15 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:23:15 GMT-0600 (hora estándar central)
77,5,Ricotta Stuffed Ravioli,"Juicy crocodile, grilled to your liking and drizzled with a bold sumac sauce, served alongside roasted carrot.",Tue Jun 24 2025 15:23:15 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:23:15 GMT-0600 (hora estándar central)
78,5,Cauliflower Penne,"A robust fresh stew featuring Parsi flavors, loaded with savory meat, spicy vegetables, and a juicy, moist broth.",Tue Jun 24 2025 15:23:15 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:23:15 GMT-0600 (hora estándar central)
79,3,Carrot Salad,"A succulent emu steak, encased in a golden lime leaves crust, served with a side of anise mashed eggplant.",Tue Jun 24 2025 15:23:15 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:23:15 GMT-0600 (hora estándar central)
80,3,Date-glazed Turkey Skewers,"A robust moist stew featuring Udupi flavors, loaded with zesty meat, tender vegetables, and a savory, crispy broth.",Tue Jun 24 2025 15:23:15 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:23:15 GMT-0600 (hora estándar central)
81,3,Orange-infused Chicken Roast,"Tender salmon skewers, glazed with a sweet and tangy elderberry sauce, served over a bed of fragrant jasmine rice.",Tue Jun 24 2025 15:23:15 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:23:15 GMT-0600 (hora estándar central)
82,5,Fettuccine Alfredo,"Fresh haloumi with a pinch of china star, topped by a caramelized guava with whipped cream",Tue Jun 24 2025 15:23:15 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:23:15 GMT-0600 (hora estándar central)
83,5,Lithuanian William Pear Soup,"An exquisite beef roast, infused with the essence of prune, slow-roasted to bring out its natural flavors and served with a side of creamy eggplant",Tue Jun 24 2025 15:23:15 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:23:15 GMT-0600 (hora estándar central)
84,3,Bunny Chow,"Three rice noodles with red cabbage, potatoes, snowpea sprouts, bean sprouts and yoghurt. With a side of baked blueberry, and your choice of barley or artichoke.",Tue Jun 24 2025 15:23:15 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:23:15 GMT-0600 (hora estándar central)
85,5,Poke,"Grilled goose kebabs, marinated in New Mexican spices and served with a fresh cornichons and nectarine salad.",Tue Jun 24 2025 15:37:32 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:37:32 GMT-0600 (hora estándar central)
86,3,Pork Belly Buns,"Fresh tamari with a pinch of parsley, topped by a caramelized plum with whipped cream",Tue Jun 24 2025 15:37:32 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:37:32 GMT-0600 (hora estándar central)
87,3,Ebiten Maki,"Fresh oat flour with a pinch of parsley, topped by a caramelized custard apples daikon with whipped cream",Tue Jun 24 2025 15:37:32 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:37:32 GMT-0600 (hora estándar central)
88,3,French Toast,A simple berry pie. No fancy stuff. Just pie.,Tue Jun 24 2025 15:37:32 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:37:32 GMT-0600 (hora estándar central)
89,3,Pappardelle Alla Bolognese,"A succulent rabbit steak, encased in a fresh sage crust, served with a side of arrowroot mashed eggplant.",Tue Jun 24 2025 15:37:32 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:37:32 GMT-0600 (hora estándar central)
90,3,Pork Sausage Roll,"Baked arborio rice-stuffed venison, seasoned with cardamom and tender herbs, accompanied by roasted endive medley.",Tue Jun 24 2025 15:37:32 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:37:32 GMT-0600 (hora estándar central)
91,5,Chilli Con Carne,"A delightful tart combining salty kale and sweet custard apples daikon, set in a buttery pastry shell and finished with a hint of dhansak.",Tue Jun 24 2025 15:37:32 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:37:32 GMT-0600 (hora estándar central)
92,5,Crocodile Steak,"Our sour duck, slow-cooked to perfection, accompanied by steamed fresh chillies and a rich, savory gravy.",Tue Jun 24 2025 15:37:32 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:37:32 GMT-0600 (hora estándar central)
93,5,Savory Thai Stew,"A delightful tart combining golden onion and sweet corella pear, set in a buttery pastry shell and finished with a hint of korma.",Tue Jun 24 2025 15:37:32 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:37:32 GMT-0600 (hora estándar central)
94,5,Caprese Salad,"A succulent beef steak, encased in a bitter fines herbes crust, served with a side of curry mashed radicchio.",Tue Jun 24 2025 15:37:32 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:37:32 GMT-0600 (hora estándar central)
95,3,Tomato-infused Crocodile Roast,"A succulent turkey steak, encased in a delicious kaffir leaves crust, served with a side of lemon pepper mashed sweet potato.",Tue Jun 24 2025 15:37:32 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:37:32 GMT-0600 (hora estándar central)
96,5,Scotch Eggs,"Tender emu skewers, glazed with a sweet and tangy fig sauce, served over a bed of fragrant jasmine rice.",Tue Jun 24 2025 15:37:32 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:37:32 GMT-0600 (hora estándar central)
97,5,Lasagne,"Fresh mixed greens tossed with sweet basil-rubbed kangaroo, butternut lettuce, and a light dressing.",Tue Jun 24 2025 15:37:32 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:37:32 GMT-0600 (hora estándar central)
98,5,Eduardo's Special Muesli,"Baked tofu-stuffed pigeon, seasoned with five spice and golden herbs, accompanied by roasted asparagus medley.",Tue Jun 24 2025 15:37:32 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:37:32 GMT-0600 (hora estándar central)
99,3,Stinky Tofu,"Crispy fried quail bites, seasoned with ajwain seed and served with a tangy tomato dipping sauce.",Tue Jun 24 2025 15:37:32 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:37:32 GMT-0600 (hora estándar central)
100,5,Som Tam,"An exquisite salmon roast, infused with the essence of aubergine, slow-roasted to bring out its natural flavors and served with a side of creamy cos lettuce",Tue Jun 24 2025 15:37:32 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:37:32 GMT-0600 (hora estándar central)
101,3,Venison With Corella Pear Sauce,"An exquisite pork roast, infused with the essence of cranberry, slow-roasted to bring out its natural flavors and served with a side of creamy asparagus",Tue Jun 24 2025 15:37:32 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:37:32 GMT-0600 (hora estándar central)
102,3,Pasta With Tomato And Basil,"A robust sweet stew featuring Spanish flavors, loaded with creamy meat, fluffy vegetables, and a zesty, spicy broth.",Tue Jun 24 2025 15:37:32 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:37:32 GMT-0600 (hora estándar central)
103,5,Chervil-crusted Beef,A special orange flaxseed oil from Fiji. To support the strong flavor it is sided with a tablespoon of lavender.,Tue Jun 24 2025 15:37:32 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:37:32 GMT-0600 (hora estándar central)
104,3,Custard Apple-glazed Salmon Skewers,"A delightful tart combining savory celery and sweet tomato, set in a buttery pastry shell and finished with a hint of paprika.",Tue Jun 24 2025 15:37:32 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:37:32 GMT-0600 (hora estándar central)
105,3,Sweet Crocodile With Cucumber,"Our fluffy pigeon, slow-cooked to perfection, accompanied by steamed rhubarb and a rich, savory gravy.",Tue Jun 24 2025 15:51:48 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:51:48 GMT-0600 (hora estándar central)
106,3,Fish And Chips,"A slow-roasted Oriental Scops-Owl with a sour, zesty exterior. Stuffed with pomegranate and covered in tomato sauce. Sides with broccoli puree and wild bean sprouts.",Tue Jun 24 2025 15:51:48 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:51:48 GMT-0600 (hora estándar central)
107,5,Tacos,A simple banana pie. No fancy stuff. Just pie.,Tue Jun 24 2025 15:51:48 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:51:48 GMT-0600 (hora estándar central)
108,3,Sushi,"56-day aged chicken steak, with choice of 2 sides.",Tue Jun 24 2025 15:51:48 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:51:48 GMT-0600 (hora estándar central)
109,3,Pasta With Tomato And Basil,"A heartwarming Mordovian soup, featuring fresh spearmint and an aromatic blend of traditional spices.",Tue Jun 24 2025 15:51:48 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:51:48 GMT-0600 (hora estándar central)
110,5,Poutine,"A robust zesty stew featuring Chinese Islamic flavors, loaded with zesty meat, golden vegetables, and a sweet, salty broth.",Tue Jun 24 2025 15:51:48 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:51:48 GMT-0600 (hora estándar central)
111,5,Tomato And Tomato Tart,"Three oranges with pumpkin, artichoke, chinese cabbage, cucumber and kokam. With a side of baked corella pear, and your choice of stevia or chickory.",Tue Jun 24 2025 15:51:48 GMT-0600 (hora estándar central),Tue Jun 24 2025 15:51:48 GMT-0600 (hora estándar central)
